TownePlace Suites by Marriott Champaign Urbana/Campustown,ChIJK1jATz_XDIgRONMgxBXlxO8,OPERATIONAL,lodging,"603 S 6th St, Champaign",0,4.3,354
Hyatt Place Champaign/Urbana,ChIJ5-vi9EzXDIgRtN0VUdxbtVE,OPERATIONAL,lodging,"217 N Neil St, Champaign",0,4.5,765
Hampton Inn Champaign/Urbana,ChIJufq2j2nXDIgRY9gIqE6fXIc,OPERATIONAL,lodging,"1200 W University Ave, Urbana",0,4.2,501
Hilton Garden Inn Champaign/ Urbana,ChIJ6bOXKC3XDIgRWAFeRkeBdy8,OPERATIONAL,lodging,"1501 S Neil St, Champaign",0,4.4,609
Garden Hotel Urbana,ChIJCZ12_2HXDIgRI7Kts0Fworw,OPERATIONAL,lodging,"1001 W Killarney St, Urbana",0,3.2,108
"Country Inn & Suites by Radisson, Champaign North, IL",ChIJF3N6HwTaDIgR1TefIuxYAtk,OPERATIONAL,lodging,"602 W Marketview Dr, Champaign",0,4.3,347
Econo Lodge Champaign Urbana - University Area,ChIJk6GnimLXDIgR6DYZk-Gn6QM,OPERATIONAL,lodging,"1908 N Lincoln Ave, Urbana",0,3.5,293
"Comfort Suites Urbana Champaign, University Area",ChIJsWE-Y2LXDIgRTmLAo_gWOtA,OPERATIONAL,lodging,"2001 N Lincoln Ave, Urbana",0,4.5,465
Radisson Hotel & Conference Center Champaign-Urbana,ChIJnUgfKK7XDIgRHWaDCpM-6GQ,OPERATIONAL,lodging,"1001 W Killarney St, Urbana",0,2.1,11
Holiday Inn Champaign,ChIJmy_vvEXXDIgRI9hdoYYF110,OPERATIONAL,lodging,"101 Trade Center Drive, Champaign",0,4.3,81
America's Best Inn Urbana Champaign,ChIJ7WeCVnHXDIgRbQsWP415HKU,OPERATIONAL,lodging,"409 W University Ave, Urbana",0,3.1,110
Drury Inn & Suites Champaign,ChIJZW-OPgnaDIgRVvAyoKZmLso,OPERATIONAL,lodging,"905 W Anthony Dr, Champaign",0,4.5,535
Holiday Inn Express,ChIJVeGzl9jZDIgRiLjq0SdX9rw,OPERATIONAL,lodging,"1003 W Killarney St, Urbana",0,4.2,261
Homewood Suites by Hilton Champaign-Urbana,ChIJ43UOMC3XDIgRWSY0h8TJPXc,OPERATIONAL,lodging,"1417 S Neil St, Champaign",0,4.4,353
La Quinta Inn by Wyndham Champaign,ChIJswjn6fjZDIgRLieoYnM9j9s,OPERATIONAL,lodging,"1900 Center Dr, Champaign",0,4,519
Courtyard by Marriott Champaign,ChIJX5pCsAbaDIgRBJ_pLF5pQNQ,OPERATIONAL,lodging,"1811 Moreland Blvd, Champaign",0,4,268
Illini Union Hotel,ChIJ-96AU1ZQa4gR2AQIYD8XMVQ,CLOSED_TEMPORARILY,lodging,"1401 W Green St, Urbana",0,4.1,58
Baymont by Wyndham Champaign,ChIJC2HfvAHaDIgR3dlM4oPXEYo,OPERATIONAL,lodging,"302 W Anthony Dr, Champaign",0,3.6,317
Best Western Plus Champaign/Urbana Inn,ChIJPW88HgTaDIgRfQJjIrb6s_8,OPERATIONAL,lodging,"516 W Marketview Dr, Champaign",0,4.8,6
Extended Stay America - Champaign - Urbana,ChIJ0zdjggbaDIgRirUI47vagYc,OPERATIONAL,lodging,"610 W Marketview Dr, Champaign",0,3.8,246
WoodSpring Suites Champaign Urbana,ChIJ3QJuQQvaDIgRQEefYhmMEEI,OPERATIONAL,real_estate_agency lodging,"1212 W Anthony Dr, Champaign",0,3.3,193
Residence Inn by Marriott Champaign,ChIJ73f6DgTaDIgRZZi7mUPeUzM,OPERATIONAL,lodging,"502 W Marketview Dr, Champaign",0,4.2,383
Red Roof Inn Champaign - University,ChIJX6dL3gHaDIgRCZxaYZAB81Q,OPERATIONAL,lodging,"212 W Anthony Dr, Champaign",0,3.5,499
Candlewood Suites Champaign-Urbana Univ Area,ChIJf1P8_gPaDIgRvgCIKektS60,OPERATIONAL,lodging,"1917 Moreland Blvd, Champaign",0,4.2,211
Quality Inn & Suites,ChIJQ8zWKQLaDIgRMTVUssi59S8,OPERATIONAL,lodging,"305 W Marketview Dr, Champaign",0,3.5,250
Lincoln Lodge,ChIJ2aA5HHTXDIgRTXOW7pShUsk,OPERATIONAL,lodging,"403 W University Ave, Urbana",0,2.7,89
Champaign Garden Inn,ChIJA66irLPQDIgRV3k-bPN5yBk,OPERATIONAL,lodging,"411 W Hill St, Champaign",0,4.9,64
Rodeway Inn Urbana Champaign University Area,ChIJTe48K-vZDIgRHNh-B3YulFQ,OPERATIONAL,lodging,"612 W Killarney St, Urbana",0,3.6,51
Fairfield Inn & Suites by Marriott Champaign,ChIJyxHsyAbaDIgRTkH1X3up4hs,OPERATIONAL,lodging,"1807 Moreland Blvd, Champaign",0,4.1,236
