Hampton Inn Champaign Urbana,OPERATIONAL,lodging point_of_interest establishment ,"1200 W University Ave, Urbana",0,4.2,504,,static/img/hotel/Hampton Inn Champaign Urbana
Hyatt Place Champaign Urbana,OPERATIONAL,lodging point_of_interest establishment ,"217 N Neil St, Champaign",0,4.5,767,,static/img/hotel/Hyatt Place Champaign Urbana
TownePlace Suites by Marriott Champaign Urbana Campustown,OPERATIONAL,lodging point_of_interest establishment ,"603 S 6th St, Champaign",0,4.3,355,,static/img/hotel/TownePlace Suites by Marriott Champaign Urbana Campustown
Hilton Garden Inn Champaign  Urbana,OPERATIONAL,lodging point_of_interest establishment ,"1501 S Neil St, Champaign",0,4.4,609,,static/img/hotel/Hilton Garden Inn Champaign  Urbana
I Hotel and Conference Center,OPERATIONAL,lodging point_of_interest establishment ,"1900 S 1st St, Champaign",0,4.6,1167,,static/img/hotel/I Hotel and Conference Center
Drury Inn & Suites Champaign,OPERATIONAL,lodging point_of_interest establishment ,"905 W Anthony Dr, Champaign",0,4.5,542,,static/img/hotel/Drury Inn & Suites Champaign
"Comfort Suites Urbana Champaign, University Area",OPERATIONAL,lodging point_of_interest establishment ,"2001 N Lincoln Ave, Urbana",0,4.5,467,,"static/img/hotel/Comfort Suites Urbana Champaign, University Area"
Courtyard by Marriott Champaign,OPERATIONAL,lodging point_of_interest establishment ,"1811 Moreland Blvd, Champaign",0,4,272,,static/img/hotel/Courtyard by Marriott Champaign
Home2 Suites by Hilton Champaign   Urbana,OPERATIONAL,lodging point_of_interest establishment ,"2013 S Neil St, Champaign",0,4.5,451,,static/img/hotel/Home2 Suites by Hilton Champaign   Urbana
Econo Lodge Champaign Urbana - University Area,OPERATIONAL,lodging point_of_interest establishment ,"1908 N Lincoln Ave, Urbana",0,3.5,294,,static/img/hotel/Econo Lodge Champaign Urbana - University Area
Homewood Suites by Hilton Champaign-Urbana,OPERATIONAL,lodging point_of_interest establishment ,"1417 S Neil St, Champaign",0,4.4,353,,static/img/hotel/Homewood Suites by Hilton Champaign-Urbana
Holiday Inn Express,OPERATIONAL,lodging point_of_interest establishment ,"1003 W Killarney St, Urbana",0,4.2,261,,static/img/hotel/Holiday Inn Express
La Quinta Inn by Wyndham Champaign,OPERATIONAL,lodging point_of_interest establishment ,"1900 Center Dr, Champaign",0,4,526,,static/img/hotel/La Quinta Inn by Wyndham Champaign
Holiday Inn Champaign,OPERATIONAL,lodging point_of_interest establishment ,"101 Trade Center Drive, Champaign",0,4.3,82,,static/img/hotel/Holiday Inn Champaign
Baymont by Wyndham Champaign,OPERATIONAL,lodging point_of_interest establishment ,"302 W Anthony Dr, Champaign",0,3.6,317,,static/img/hotel/Baymont by Wyndham Champaign
"Country Inn & Suites by Radisson, Champaign North, IL",OPERATIONAL,lodging point_of_interest establishment ,"602 W Marketview Dr, Champaign",0,4.3,349,,"static/img/hotel/Country Inn & Suites by Radisson, Champaign North, IL"
Eastland Suites Hotel & Conference Center - Urbana Champaign,OPERATIONAL,lodging point_of_interest establishment ,"1907 N Cunningham Ave, Urbana",0,4.2,444,,static/img/hotel/Eastland Suites Hotel & Conference Center - Urbana Champaign
Americas Best Value Inn Champaign,OPERATIONAL,lodging point_of_interest establishment ,"1019 W Bloomington Rd, Champaign",0,2.9,125,,static/img/hotel/Americas Best Value Inn Champaign
