,Name,Place_id,Business_Status,Types,Vicinity,Price_level,rating,user_ratings_num
0,Perkins Restaurant & Bakery,ChIJuVct82nXDIgRKdGAHV-QyDc,OPERATIONAL,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","1214 W University Ave, Urbana",2,4.2,847
1,A-Ri-Rang,ChIJr032fkDXDIgRZqjWVn7ihNg,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","607 S Wright St, Champaign",0,4.6,121
2,Jip Bap,ChIJRzAtXz_XDIgRo6V3stqgBXI,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","601 S 6th St Suite 101, Champaign",1,4.4,188
3,Sushi Rock Restaurant,ChIJUSw7cz_XDIgRNY4MjOVaHow,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","621 E Green St, Champaign",2,4.3,117
4,Maize Mexican Grill,ChIJL4_lNDbXDIgRLqBPGB1HM40,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","60 E Green St, Champaign",1,4.6,933
5,Mid Summer Lounge,ChIJ3xANcz_XDIgRbwg1u3vipYg,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","623 E Green St, Champaign",0,4.2,186
6,Lao Sze Chuan Chinese Restaurant and Bar,ChIJTx3p1kPXDIgR3k1D3UD_aa4,CLOSED_TEMPORARILY,"['restaurant', 'food', 'point_of_interest', 'establishment']","608 E University Ave #105, Champaign",2,4.0,234
7,Fiesta Cafe,ChIJFUmG5EjXDIgRMfPEJwLyHBw,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","216 S 1st St, Champaign",1,4.4,543
8,Paris super crepes,ChIJ7YBSXz_XDIgRGNTN8inplOQ,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","601 S 6th St #106, Champaign",0,4.5,281
9,Signature Grill,ChIJFZiKNT_XDIgRGo1TCsq9bG0,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","505 E Green St #3, Champaign",1,4.4,393
10,Chipotle Mexican Grill,ChIJv8lkCT_XDIgR_06HwKpZYYI,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","528 E Green St #101, Champaign",1,4.0,518
11,Black Dog Smoke & Ale House,ChIJJw__lE7XDIgRkas9FlWzcMM,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","320 N Chestnut St, Champaign",2,4.6,2106
12,Shiquan,ChIJz16Dj0vXDIgR7mozQRVFOkY,OPERATIONAL,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","212 E Green St #102, Champaign",0,4.6,64
13,Noodles and Company,ChIJv8lkCT_XDIgR7SK4MGhE3pQ,OPERATIONAL,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'store', 'establishment']","528 E Green St, Champaign",1,4.1,371
14,Maize at the Station,ChIJO5iask7XDIgRnlRSQ-bHxZs,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","100 N Chestnut St, Champaign",1,4.5,772
15,Arirang,ChIJUVVVzkbXDIgRvLX16q6IJBo,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","607 S Wright St, Champaign",0,4.6,35
16,Pokelab Champaign,ChIJM1VvWz_XDIgRI5BMom8rby8,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","605 S 6th St, Champaign",0,3.9,102
17,Nando Milano,ChIJZQrmY0zXDIgRBitutkVMdjI,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","204 N Neil St, Champaign",0,4.4,289
18,Kohinoor Indian Restaurant and Lounge,ChIJXV9mjk3XDIgRDIVbrstTQFg,OPERATIONAL,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","6 E Columbia Ave, Champaign",2,4.5,803
19,Panda Express,ChIJGUeLnT_XDIgRSmjnYZceP44,CLOSED_TEMPORARILY,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","627 S Wright St, Champaign",1,4.0,493
20,Howdy,ChIJj75Ld2PXDIgReiuIymLWa50,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","625 E Green St, Champaign",0,4.3,110
21,Evo Cafe,ChIJmYtYOz_XDIgRheUuWFqnMBI,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","711 S 6th St, Champaign",1,4.1,142
22,Fat Sandwich Company,ChIJ2wrFLD_XDIgRO4NJ-R8ff3I,OPERATIONAL,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","502 E John St, Champaign",1,4.0,140
23,Seven Saints,ChIJI_EG90vXDIgRsfh08quGoOY,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","32 E Chester St, Champaign",2,4.6,1288
24,Nanjing Bistro,ChIJz7xToLnXDIgRHaqmcK0_UHI,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","508 E Green St, Champaign",0,4.1,16
25,Kofusion,ChIJd-fDXkzXDIgR0P4LX3uTnk8,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","1 E Main St, Champaign",3,4.4,578
26,Burrito King Mexican Grill,ChIJx4iHkTjXDIgRcXG3Vp9LqxQ,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","408 E Green St, Champaign",1,4.1,363
27,Lai Lai Wok,ChIJw0qqkTjXDIgR4yptdp8KwaY,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","402 E Green St, Champaign",1,4.0,215
28,Dairy Queen Grill & Chill,ChIJGalvnm7XDIgRBtQWj9m5_Xw,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","911 W University Ave, Urbana",1,4.1,344
29,Sticky Rice,ChIJ1wD_p03XDIgRmF-XzG8FVhA,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","415 N Neil St, Champaign",0,4.7,193
30,Big Grove Tavern,ChIJO6srX0zXDIgRaywVouCA2i8,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 E Main St, Champaign",2,4.1,595
31,Sushi Kame,ChIJ8ctt6EzXDIgRxIKhPClhecA,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","39 E Green St, Champaign",2,4.4,277
32,Manolo's Pizza & Empanadas,ChIJy8hHOhTXDIgRw8-A4gSrjXo,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","1115 W Oregon St, Urbana",1,4.3,285
33,BoBo China,ChIJx4iHkTjXDIgRlrgrAdUJNuE,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","404 E Green St, Champaign",1,3.9,95
34,The Himalayan Chimney,ChIJU4zBwkzXDIgRwNXNIR8e0oo,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","134 W Church St, Champaign",2,4.4,646
35,Mitsu & Tsaocaa,ChIJNb7ho6HXDIgRNdT8dmaRm1Q,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","608 S 6th St, Champaign",0,4.0,47
36,Sushi Ichiban,ChIJm91feD_XDIgRGK707_uqJ-g,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","619 S Wright St, Champaign",1,3.8,256
37,C-U La La Noodle,ChIJLZylq8LXDIgR-jgWxNxzFFE,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","410 E Green St #13, Champaign",0,4.0,41
38,Good Fella,ChIJL_AOoDPXDIgRZlOFWPkwwBw,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","905 S Neil St # F, Champaign",2,4.4,103
39,Mr crab Cajun boil seafood house,ChIJ8_qTGCPXDIgRFcypEQpQ5tw,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","401 S 1st St, Champaign",0,4.2,38
40,Burger King,ChIJVU0tYWnXDIgRe4I1I0YcD9I,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","1106 W University Ave, Urbana",1,3.8,383
41,Neil St Blues,ChIJyZ-YWFrXDIgRQ78mxkN5oPY,OPERATIONAL,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","301 N Neil St #106, Champaign",2,4.4,362
42,Dos Reales Mexican Restaurant,ChIJ90b5q6fQDIgRYOqwFsv57zA,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","1407 N Prospect Ave, Champaign",1,4.5,1444
43,Jupiter's Pizzeria & Billiards,ChIJrSMwH0zXDIgRhQFezOWfDFQ,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","39 E Main St, Champaign",2,4.3,535
44,Guido's Bar & Grill,ChIJT-lsZ0zXDIgR-fxSGmfPUaM,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2 E Main St, Champaign",2,4.2,644
45,Hot Wok Express,ChIJDZoqWmnXDIgRkYchI2qxObA,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","1102 W University Ave, Urbana",1,3.8,213
46,Asian Noodle & Sushi,ChIJbx2wQP3RDIgRgsrYGnwT6x8,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","305 Cedar St, Champaign",0,4.4,87
47,Olive Garden Italian Restaurant,ChIJrSiOH_zZDIgREtu1depy0TA,OPERATIONAL,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","30 E Anthony Dr, Champaign",2,4.2,1793
48,Rosati's Pizza,ChIJFeza-BPXDIgR5Tv11ezLwA8,OPERATIONAL,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","701 S Gregory St H, Urbana",2,4.1,252
49,Thara Thai Restaurant,ChIJA7nJkwnaDIgRqKSiWJAo6mg,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","912 1/2 W Bloomington Rd, Champaign",2,4.7,498
50,Merry Ann's Diner (on Campus),ChIJ7yVKCBTXDIgRuUXpCS_zjBI,CLOSED_TEMPORARILY,"['restaurant', 'food', 'point_of_interest', 'establishment']","701 S Gregory St c, Urbana",1,4.4,522
51,Alexander's Steakhouse,ChIJt_KmN__ZDIgRNm4Q-88Uq6g,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","202 W Anthony Dr, Champaign",2,4.4,636
52,Cowboy Monkey,ChIJd58ZbkzXDIgR5k5W44BYcds,OPERATIONAL,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","6 Taylor St, Champaign",2,4.1,200
53,El Toro II,ChIJlzqRiDTXDIgRKB7rQIu9wyc,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","723 S Neil St, Champaign",2,4.1,383
54,McDonald's,ChIJv5lMaT_XDIgRsEtHigVjhEY,OPERATIONAL,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","616 E Green St, Champaign",1,3.6,587
55,Basil Thai At Urbana,ChIJFeza-BPXDIgR4As0XIHLEds,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","701 S Gregory St # B, Urbana",2,3.9,175
56,Wingstop,ChIJ2b7YljXXDIgRCelOtJv_RMo,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","512 S Neil St, Champaign",2,4.0,307
57,Rainbow Garden,ChIJf_3DcC3XDIgREENlQ4b97PQ,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","1402 S Neil St, Champaign",2,4.2,308
58,Papa Del's,ChIJXTSE-jLXDIgRXYUfHxxKqUY,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","1201 S Neil St, Champaign",2,4.2,1474
59,LongHorn Steakhouse,ChIJQWWdNg7aDIgRW8wgVx_q0ao,OPERATIONAL,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2101 N Prospect Ave, Champaign",2,4.3,1073
