,Name,Place_id,Business_Status,Types,Vicinity,Price_level,rating,user_ratings_num
0,Teamoji,ChIJp2VVbT_XDIgR5Wxw1qbuiqc,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'establishment']","617 E Green St, Champaign",0,4.4,180
1,Kung Fu Tea,ChIJAczTOz_XDIgRqWfwfdK_K2U,OPERATIONAL,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","707 S 6th St Suite 107, Champaign",1,4.5,210
2,Bearology,ChIJxXYj3PvXDIgRYwrUpo6gS-8,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'establishment']","608 E University Ave, Champaign",0,4.7,57
3,Latea Bubble Tea Lounge,ChIJO3qroUDXDIgRhLAREhhEyq8,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'establishment']","601 S 6th St #105, Champaign",2,4.1,207
4,Cocomero,ChIJFbOvCj_XDIgRvgXR-i7aYCE,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","709 S Wright St, Champaign",1,4.5,386
5,PvP Bakery,ChIJJS_FrMLXDIgR0NvWi9jDjOM,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","611 E Green St suite a, Champaign",0,4.5,31
6,Starbucks,ChIJJ93NORfaDIgR8xk4Bkesfdg,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","2702 N Prospect Ave, Champaign",2,4.3,565
7,Caffe Bene,ChIJOe7xTz_XDIgR1BXPnVSaZ_M,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","524 E Green St, Champaign",2,4.5,217
8,BrewLab Coffee,ChIJYdQjsDjXDIgRAcnsygN7VKI,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","630 S 5th St, Champaign",1,4.7,212
9,Starbucks,ChIJR19a0D_XDIgRPEzPS5uQywA,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'establishment']","1401 W Green St, Urbana",2,3.7,14
10,Caffé Bene,ChIJmShlBxTXDIgRrSUw8yFgLFc,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","700 S Gregory St, Urbana",2,4.4,233
11,Dunkin',ChIJG55faz_XDIgR1_yaJBM_HQI,OPERATIONAL,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","607 E Green St, Champaign",1,4.2,138
12,Taipei Cafe,ChIJh-MjTT_XDIgRv55xweSYT1U,OPERATIONAL,"['point_of_interest', 'establishment']","512 E Green St, Champaign",0,4.3,45
13,Mitsu & Tsaocaa,ChIJNb7ho6HXDIgRNdT8dmaRm1Q,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","608 S 6th St, Champaign",0,4.0,47
14,Spoon House,ChIJxwkLcT_XDIgRZtmcVWJWhgo,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","616 E Green St, Champaign",2,4.3,144
15,University of Illinois at Urbana-Champaign,ChIJ6VUmqSTXDIgR-iZoBCUFPKU,OPERATIONAL,"['university', 'point_of_interest', 'establishment']",Champaign,0,4.5,519
16,Milk Tea House,ChIJY_SduzjXDIgRKeKa9VwJYPA,CLOSED_PERMANENTLY,"['cafe', 'food', 'point_of_interest', 'establishment']","410 E Green St #2, Champaign",0,4.8,4
