,Name,Place_id,Business_Status,Types,Vicinity,Price_level,rating,user_ratings_num
0,Esquire Lounge,ChIJ22CE9UvXDIgRmk4vgbZ-Qfg,OPERATIONAL,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","106 N Walnut St, Champaign",1,4.4,928
1,The Canopy Club,ChIJi3c5JRTXDIgRa2vY_7hcnPw,OPERATIONAL,"['night_club', 'point_of_interest', 'establishment']","708 S Goodwin Ave, Urbana",2,4.2,85
2,Soma Ultralounge,ChIJd-sZT0zXDIgRdx4GJaequss,OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']","320 N Neil St, Champaign",2,2.9,46
3,Bentley's Pub,ChIJBUztCE3XDIgRqtxJRkwp2HU,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","419 N Neil St, Champaign",1,4.6,162
4,Cowboy Monkey,ChIJd58ZbkzXDIgR5k5W44BYcds,OPERATIONAL,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","6 Taylor St, Champaign",2,4.1,200
5,Joe's Brewery,ChIJZzWlzjjXDIgRqGk1oF_3BcQ,OPERATIONAL,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","706 S 5th St, Champaign",1,4.1,354
6,The Blind Pig Co,ChIJXye0DkzXDIgRWwXJJa-eONY,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","120 N Walnut St, Champaign",1,4.7,426
7,Clark Bar,ChIJP5FRM0vXDIgRJ1voEnP259s,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","207 W Clark St, Champaign",1,4.6,261
8,The Ice House of Champaign,ChIJe485KKXQDIgRoarAY8YqAGQ,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","703 N Prospect Ave, Champaign",1,4.5,40
9,HighBeats KTV Champaign Store,ChIJTSC2ZDXXDIgR2itrZLVojDY,OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']","505 S Neil St Unit 8, Champaign",0,3.1,9
10,Brothers Bar & Grill,ChIJff7AbT_XDIgRok8naGDKRbU,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","613 E Green St, Champaign",0,4.1,213
11,Quality,ChIJ31crekzXDIgRdbmjYGhU7LE,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","110 N Neil St, Champaign",2,4.5,257
12,The Hub,ChIJlxxVKTbXDIgRPJStYGrze3E,OPERATIONAL,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","601 S 1st St #102, Champaign",2,3.4,129
13,Neil St Blues,ChIJyZ-YWFrXDIgRQ78mxkN5oPY,OPERATIONAL,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","301 N Neil St #106, Champaign",2,4.4,362
14,Murphy's Pub,ChIJK5OsaT_XDIgRTOW5MX163FI,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","604 E Green St, Champaign",1,4.3,738
15,RockStar Karaoke,ChIJG4SHh3naDIgRnaFbCrvBaLM,OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']",Champaign,0,0.0,0
16,Fat City Bar and Grill,ChIJnTXDjTXXDIgRFJKEmxYxbrQ,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","505 S Chestnut St, Champaign",1,4.3,153
17,Tumble Inn Tavern,ChIJhSb7TUrXDIgRzFDY-PUmvUY,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","302 S Neil St, Champaign",1,4.4,152
18,Fiesta Cafe,ChIJFUmG5EjXDIgRMfPEJwLyHBw,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","216 S 1st St, Champaign",1,4.4,543
19,Seven Saints,ChIJI_EG90vXDIgRsfh08quGoOY,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","32 E Chester St, Champaign",2,4.6,1288
20,Jupiter's Pizzeria & Billiards,ChIJrSMwH0zXDIgRhQFezOWfDFQ,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","39 E Main St, Champaign",2,4.3,535
21,Brass Rail,ChIJg2pfjkvXDIgR0pVVRkyls2w,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","15 E University Ave, Champaign",1,4.4,73
22,Illini Inn,ChIJwYoPCznXDIgRFlSv97PrcZ4,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","901 S 4th St, Champaign",1,4.3,126
23,Guido's Bar & Grill,ChIJT-lsZ0zXDIgR-fxSGmfPUaM,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2 E Main St, Champaign",2,4.2,644
24,The Red Lion,ChIJzWr2PDjXDIgRvKJR5x9FxJE,OPERATIONAL,"['bar', 'night_club', 'point_of_interest', 'establishment']","211 E Green St, Champaign",1,3.4,347
25,Collective Pour,ChIJk30EOjbXDIgRK1HvaVLErc8,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","340 N Neil St #101, Champaign",0,4.6,153
26,Barrelhouse 34,ChIJF7faEEzXDIgRn6Ekp427w50,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","34 E Main St, Champaign",2,4.5,338
27,Pour Bros. Craft Taproom,ChIJZ9IJ2SbXDIgRXIsVde-MlAY,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","40 E University Ave, Champaign",2,4.7,239
28,Green Street Cafe,ChIJ4f3vdjbXDIgRLCHchmR3Gmk,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","35 E Green St, Champaign",1,4.3,71
29,Stix Arcade Bar,ChIJcU9M9bnXDIgRC4IZsfj0wN4,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","116 N Walnut St, Champaign",0,4.6,9
30,Lucky's Lounge,ChIJHR0vh2LXDIgRCFhaHSsjdO8,OPERATIONAL,"['casino', 'bar', 'point_of_interest', 'establishment']","2002 N Lincoln Ave, Urbana",0,4.4,19
31,Goldy's Bar And Grill,ChIJOQlARYzQDIgR1V98KQyR2kk,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","123 S Mattis Ave, Champaign",1,4.3,109
32,Big Grove Tavern,ChIJO6srX0zXDIgRaywVouCA2i8,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 E Main St, Champaign",2,4.1,595
33,Libby’s Lounge Slots & Video Poker,ChIJ0yPEdDPXDIgRvmu7V8IJPrs,OPERATIONAL,"['casino', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","905 S Neil St A, Champaign",0,4.7,24
34,Legends,ChIJa6QUTj_XDIgRe0vYzj0K8dc,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","522 E Green St, Champaign",1,4.2,488
35,Punch! Bar & Lounge,ChIJ2xGmyhLXDIgRLe-DZjuSkEo,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","Located in the Hyatt Place, 217 N Neil St, Urbana",0,4.8,58
36,Office II,ChIJB7EoHovQDIgRAjI9pi4-EH0,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","302 S Country Fair Dr, Champaign",1,4.2,77
37,Hubers,ChIJkRz28pbQDIgROYVGf8-Z_JM,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","1312 W Church St, Champaign",1,4.6,138
38,Pia's Sports Bar & Grill,ChIJw9c5z5LQDIgRAmM2pAle6sg,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1609 W Springfield Ave, Champaign",1,4.1,191
39,O'Charley’s Restaurant & Bar,ChIJm297CBDaDIgRF28h_bUOuLI,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","730 W Town Center Blvd, Champaign",2,4.0,816
40,LongHorn Steakhouse,ChIJQWWdNg7aDIgRW8wgVx_q0ao,OPERATIONAL,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2101 N Prospect Ave, Champaign",2,4.3,1073
41,Applebee's Grill + Bar,ChIJ2Wl_LA7aDIgRM5kZaf8OUE0,OPERATIONAL,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","2121 N Prospect Ave, Champaign",2,3.7,674
42,Texas Roadhouse,ChIJbT9gQ4nQDIgR4DfcWkh1XVk,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","204 N Country Fair Dr, Champaign",2,4.6,2313
43,Outback Steakhouse,ChIJY13PFiXRDIgROZBxSRkHU78,OPERATIONAL,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2402 N Prospect Ave, Champaign",2,4.3,941
44,Olive Garden Italian Restaurant,ChIJrSiOH_zZDIgREtu1depy0TA,OPERATIONAL,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","30 E Anthony Dr, Champaign",2,4.2,1793
45,One-T's Cornerpocket,ChIJUe9O52vRDIgRPntoFiBXW0g,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","123 S Mattis Ave, Champaign",0,0.0,0
46,Chili's Grill & Bar,ChIJnUty5A7aDIgRp5ch5ncYcVY,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1905 N Prospect Ave, Champaign",2,4.1,1070
47,Illini Pub Cycle,ChIJWYicMwraDIgRgBmNTtWlBQE,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","1040 W Bloomington Rd, Champaign",0,4.5,8
48,bar,ChIJe1i2ApjXDIgRySiC4yWxPoQ,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","32 E Chester St, Champaign",0,0.0,0
49,The City Center,ChIJfXqNjDXXDIgRgn7WrqaNkM4,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","505 S Chestnut St, Champaign",0,4.6,197
50,Kam's,ChIJ92Hl8D7XDIgRPkkCcwl_F3M,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","102 E Green St STE 104, Champaign",1,3.1,205
51,QDOBA Mexican Eats,ChIJBWFBwz_XDIgRuGO4hJw9ULM,CLOSED_TEMPORARILY,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1401 W Green St, Urbana",1,3.8,30
52,Styx,ChIJnzKOiSnXDIgRMVudtsrNsX0,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","116 S Walnut St, Champaign",0,4.5,2
53,Nut Tree Inc,ChIJMWQEdDbXDIgRZXiYoL54tx4,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","35 E Green St, Champaign",0,5.0,3
54,Glow,ChIJ253Kuv7RDIgRxBkuS8ikx4Q,OPERATIONAL,"['bar', 'point_of_interest', 'establishment']","207 W Clark St, Champaign",0,1.0,1
55,VFW Post 5520,ChIJdcvRt6nQDIgRFEQ-_6ep1CY,OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']","609 Edgebrook Dr, Champaign",0,4.4,34
56,Watson's Shack & Rail,ChIJy1uli0zXDIgRSUh0W3v0IMg,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","211 N Neil St, Champaign",2,4.5,749
57,Hamilton Walker's,ChIJj7naiUzXDIgRysCvEK40uVY,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","201 N Neil St, Champaign",3,4.4,544
58,Baxters American Grille,ChIJZ-ILryzXDIgR_X61yZlYNbE,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Trade, Center Dr, Champaign",2,4.4,424
